"V1","V2","V3"
"R1_t_1","R1_t_0","0.28"
"R1_t_0","R2_t_0","1.05"
"R9_t_1","R2_t_0","0.01"
"R3_t_0","R4_t_0","0.81"
"R4_t_1","R4_t_0","0.13"
"R16_t_1","R4_t_0","0.04"
"R6_t_0","R5_t_0","0.49"
"R13_t_0","R5_t_0","0.06"
"R5_t_1","R5_t_0","0.09"
"R6_t_1","R6_t_0","0.4"
"R7_t_1","R7_t_0","0.34"
"R7_t_0","R8_t_0","0.89"
"R3_t_0","R9_t_0","-0.05"
"R7_t_0","R9_t_0","0.22"
"R8_t_0","R9_t_0","0.56"
"R9_t_1","R9_t_0","0.14"
"R15_t_0","R10_t_0","0.29"
"R10_t_1","R10_t_0","0.24"
"R10_t_0","R11_t_0","0.9"
"R16_t_0","R11_t_0","-0.11"
"R11_t_1","R11_t_0","0.4"
"R13_t_1","R11_t_0","0.04"
"R9_t_0","R12_t_0","0.07"
"R11_t_0","R12_t_0","0.63"
"R9_t_1","R12_t_0","0.02"
"R12_t_1","R12_t_0","0.13"
"R10_t_0","R13_t_0","0.27"
"R6_t_1","R13_t_0","0.11"
"R13_t_1","R13_t_0","0.17"
"R16_t_1","R13_t_0","-0.14"
"R14_t_1","R14_t_0","0.38"
"R14_t_0","R15_t_0","0.65"
"R15_t_1","R15_t_0","0.15"
"R4_t_0","R16_t_0","0.25"
"R13_t_0","R16_t_0","0"
"R4_t_1","R16_t_0","-0.04"
"R13_t_1","R16_t_0","-0.09"
"R16_t_1","R16_t_0","0.62"
"R1_t_1","R2_t_1","1.05"
"R3_t_1","R4_t_1","0.94"
"R6_t_1","R5_t_1","0.51"
"R13_t_1","R5_t_1","0.07"
"R7_t_1","R8_t_1","0.89"
"R3_t_1","R9_t_1","-0.06"
"R7_t_1","R9_t_1","0.24"
"R8_t_1","R9_t_1","0.59"
"R15_t_1","R10_t_1","0.32"
"R10_t_1","R11_t_1","1.04"
"R16_t_1","R11_t_1","-0.22"
"R9_t_1","R12_t_1","0.09"
"R11_t_1","R12_t_1","0.68"
"R10_t_1","R13_t_1","0.32"
"R14_t_1","R15_t_1","0.69"
"R4_t_1","R16_t_1","0.52"
"R13_t_1","R16_t_1","-0.13"
